name,region,academy,city,messagerie,address,phone,website,longitude,latitude
Lycée l'initiative,Ile-de-France,Paris,Paris,secretariat.eleves@lyceelinitiative.org ,"24 Rue Bouret,75019",01 53 38 44 10,http://www.lyceelinitiative.com,2.3739404678344727,48.88169860839844
Lycée Saint Vincent de Paul,Normandie,Rouen,Havre,info@stvp.fr,"25 rue Dumont-D'Urville,76600",02 35 25 07 18,www.lycee-saint-vincent-le-havre.com,0.13703826069831848,49.48582458496094
Lycée les Rimais,Bretagne,Rennes,Saint-Malo,ce.0350787R@ac-rennes.fr ,"Avenue Anita Conti - BP 60939,35409",02 99 89 60 30,https://www.lesrimains.org/,-2.0039241,48.64822
Lycée privé Blanche de Castille,Ile-de-France,Versailles,Le Chesnay,b2c@blanche-de-castille.fr,"1 avenue de la Bretèche,78150",01 39 23 14 30,www.blanche-de-castille.fr,2.1303432,48.8297093
Lycée général et technologique privé Saint-Etienne,Occitanie,Toulouse,Cahors,contact@st-etienne46.com ,"49 rue des Soubirous,46000",05 65 23 32 00,www.st-etienne46.com,1.441355586051941,44.450233459472656
Lycée général et technologique privé François d'Estaing,Occitanie,Toulouse,Rodez,0121438y@ac-toulouse.fr,"22 boulevard Denys Puech,12035",05 65 77 17 00,www.francoisdestaing.fr,2.5775465,44.3489916
Lycée Saint-Martin - Quartier Sainte-Geneviève,Bretagne,Rennes,Rennes,ce.0350783L@ac-rennes.fr,"14D rue Ginguené,35044",02 99 65 10 08,https://www.saintmartin-rennes.org/nos-etablissements/quartier-sainte-genevieve,-1.685385,48.098501
Lycée polyvalent privé Le Paraclet,Bretagne,Rennes,Quimper,ce.0290186V@ac-rennes.fr,"36 avenue des Glénan,29018",02 98 55 54 38,www.leparaclet.org,-4.1146112,47.9955615
Lycée technologique privé La Salle,Grand Est,Reims,Troyes,contact@lasalle-troyes.fr,"21 rue du Cloitre saint-Etienne,10000",03 25 72 15 30,lasalle-troyes.fr/,4.0816216468811035,48.297119140625
Lycée polyvalent privé Saint-Joseph,Nouvelle Aquitaine,Poitiers,Bressuire,lycee.stjoseph.bressuire@ac-poitiers.fr,"4 rue du Docteur Brillaud,79301",05 49 65 21 33,http://saintjo.org,-0.48995593190193176,46.83766555786133
Lycée polyvalent privé Isaac de l'Étoile,Nouvelle Aquitaine,Poitiers,Poitiers,accueil@isaac-etoile.fr,"62 rue du Porteau,86001",05 49 50 34 00, https://www.isaac-etoile.fr,0.3407195,46.6040393
Lycée général et technologique privé Sainte-Geneviève,Ile-de-France,Paris,Paris,lt@isg6.paris,"64 rue d'Assas, 75006", 01 44 39 01 00,www.saintegenevieve6.org,2.3314035,48.8457816
Lycée polyvalent privé Célony,Provence-Alpes-Côte d'Azur,Aix-Marseille,Aix-en-Provence,ce.0133425c@ac-aix-marseille.fr,"4 bis avenue de Lattre de Tassigny, 13090, Aix-en-Provence ",04 42 23 59 65,https://www.lycee-celony.com/,5.437506,43.529721
Lycée privé Saint-Joseph,Provence-Alpes-Côte d'Azur,Aix-Marseille,Avignon,ce.0840072x@ac-aix-marseille.fr,"62 rue des Lices, 84000, Avignon ",04 90 14 56 00,http://www.stjoavignon.com/,4.81178,43.944985
Lycée privé Saint-Vincent-de-Paul,Haut-de-France,Amiens,Soissons,ce.0022108F@ac-amiens.fr,"13 avenue de Reims, 02207, Soissons",03 23 59 96 30,http://stvincentdepaulsoissons.org/,3.335605,49.37574
Lycée polyvalent privé Pasteur Mont-Roland,Bourgogne-Franche-Comté,Besançon,Dole,ce.0391146j@ac-besancon.fr,"9 avenue Rockefeller, 39107, Dole",03 84 79 66 00,http://pasteurmontroland.com/,5.490079,47.093887
Lycée général privé Le Mirail,Nouvelle Aquitaine,Bordeaux,Bordeaux,ce.0331498Z@ac-bordeaux.fr," 36 rue du Mirail, 33000, Bordeaux ",05 56 92 27 83,http://le-mirail.fr/index.php,0.570967,44.83347
Lycée polyvalent privé de la communication Saint-Géraud ,Auvergne-Rhône-Alpes,Clermont-Ferrand,Aurillac,ce.0150047V@ac-clermont.fr,"23 rue du Collège, 15000, Aurillac",04 71 48 28 18,http://www.lycee-stgeraud.com/,2.44633,44.931541
Lycée général et technologique privé Claude-Nicolas Ledoux - EBTP ,Ile-de-France,Créteil,Vincennes,ce.0940822H@ac-creteil.fr,"18 rue de Belfort, 94307, Vincennes",01 48 08 11 21,http://www.ebtp.info,2.431348,48.850299
Lycée polyvalent privé Assomption,Ile-de-France,Créteil,Bondy,ce.0930933J@ac-creteil.fr,"12 avenue de Verdun, 93140, Bondy",01 48 49 51 74,http://www.assomption-bondy.org/,2.490193,48.903658
Lycée technologique privé Montplaisir,Auvergne-Rhône-Alpes,Grenoble,Valence,ce.0260074P@ac-grenoble.fr,"75 rue Montplaisir, 26000, Valence ",04 75 82 18 18,http://www.ensemble-montplaisir.org/,4.908843,44.931577
Lycée polyvalent privé Saint-Denis,Haut-de-France,Lille,Saint-Omer,ce.0622199d@ac-lille.fr,"8 place Saint-Jean, 62504, Saint-Omer",03 21 12 24 00,http://stdenis.escap.fr/,2.261251,50.749931
Lycée privé Saint-Vincent de Paul,Haut-de-France,Lille,Loos,ce.0595657d@ac-lille.fr," 6 rue du Maréchal Joffre, 59120, Loos ",03 20 07 04 32,https://www.isv-ndsc.fr/,3.005411,50.617717
Lycée polyvalent privé Théophile Legrand,Haut-de-France,Lille,Louvroil,ce.0593034c@ac-lille.fr," 16 rue Bertrand, 59720, Louvroil ",03 27 65 52 60,http://www.lyceeprivelouvroil.com/,3.962085,50.26658
Lycée polyvalent privé Saint-Pierre-Saint-Paul,Occitanie,Montpellier,Langogne,ce.0480022N@ac-montpellier.fr,"1 rue du Collège, 48300, Langogne ",04 66 69 25 07,http://www.escl.fr,3.852867,44.724672
Lycée privé Samuel Raapoto,Outre-mer,Collectivités d'Outre Mer,Papeete,lsr@lsr.dep.edu.pf,"13, Avenue Ariipaea Pomare, 98701 Arue pk3.5, Papeete",689 50 21 50 21,http://www.lyceesamuelraapoto.com/,-149.539389,-17.528429
Lycée technologique privé Saint-Vincent de Paul,Grand Est,Nancy-Metz,Algrange,ce.0573366Z@ac-nancy-metz.fr,"4 rue Marie Douchet, 57440, Algrange ",03 82 86 62 62,http://www.vincentdepaul.net/,6.049168,49.357764
