Identifiant_de_l_etablissement;Type_etablissement;Statut_public_prive;Nom_etablissement;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_departement;Libelle_departement;Code_academie;Libelle_academie;Code_region;Libelle_region;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Web;Mail;Post_BAC;Section_arts;Section_cinema;Section_theatre;latitude;longitude;libelle_nature
BE_EC_001;École Supérieure des Arts;Public;ENSAV - La Cambre (École nationale supérieure des arts visuels);Abbaye de la Cambre 21;;1000 BRUXELLES;1000;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 2 626 17 80;www.lacambre.be;direction@lacambre.be;t;t;t;f;50.818814;4.375253;ECOLE SUPERIEURE DES ARTS
BE_EC_002;École Supérieure des Arts;Privé;ESA Saint-Luc Bruxelles;Rue d'Irlande 57;;1060 SAINT-GILLES;1060;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 2 537 98 69;www.stluc-bruxelles-esa.be;secretariat@stluc-bruxelles-esa.be;t;t;f;f;50.826900;4.347800;ECOLE SUPERIEURE DES ARTS
BE_EC_003;École Supérieure des Arts;Privé;ESA Saint-Luc Liège;Boulevard de la Constitution 41;;4020 LIEGE;4020;BE-WLG;Liège;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 4 341 80 00;www.saint-luc.be;info@saint-luc.be;t;t;f;f;50.643300;5.586700;ECOLE SUPERIEURE DES ARTS
BE_EC_004;École Supérieure des Arts;Privé;ESA Saint-Luc Tournai;Chaussée de Tournai 7;;7520 RAMEGNIES-CHIN;7520;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 69 25 03 83;www.stluc-sup-tournai.be;direction@stluc-sup-tournai.be;t;t;f;f;50.647500;3.361500;ECOLE SUPERIEURE DES ARTS
BE_EC_005;École Supérieure des Arts;Public;ARBA-ESA (Académie royale des Beaux-Arts de Bruxelles);Rue du Midi 144;;1000 BRUXELLES;1000;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 2 506 10 10;www.arba-esa.be;arba-esa@brucity.education;t;t;f;f;50.844300;4.348100;ECOLE SUPERIEURE DES ARTS
BE_EC_006;École Supérieure des Arts;Privé;ERG - École de Recherche Graphique;Rue du Page 87;;1050 IXELLES;1050;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 2 538 98 29;www.erg.be;erg@erg.be;t;t;t;f;50.823900;4.358700;ECOLE SUPERIEURE DES ARTS
BE_EC_007;Haute École;Public;HEAJ - Haute École Albert Jacquard (Design / Jeu vidéo / Transmédia);Rue Saint-Donat 130;;5002 NAMUR;5002;BE-WNA;Namur;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 81 24 70 30;www.heaj.be;info@heaj.be;t;t;t;f;50.468200;4.847100;HAUTE ECOLE
BE_EC_008;École Supérieure des Arts;Public;ARTS² - École supérieure des Arts de Mons;Rue de Nimy 7;;7000 MONS;7000;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 65 34 73 77;www.artsaucarre.be;contact@artsaucarre.be;t;t;f;t;50.455400;3.954200;ECOLE SUPERIEURE DES ARTS
BE_EC_009;École Supérieure des Arts;Public;ACTOUR - Académie des Beaux-Arts de Tournai;Rue de l'Hôpital Notre-Dame 14;;7500 TOURNAI;7500;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 69 84 12 63;actournai.be;contact@actournai.be;t;t;f;f;50.606800;3.391200;ECOLE SUPERIEURE DES ARTS
BE_EC_010;Haute École;Privé;Haute École Francisco Ferrer (Arts Appliqués / Design Mode);Place Anneessens 11;;1000 BRUXELLES;1000;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 2 551 02 10;www.he-ferrer.eu;he-ferrer@he-ferrer.eu;t;t;f;f;50.844100;4.343800;HAUTE ECOLE
BE_EC_011;Haute École;Public;Haute École de la Ville de Liège (Arts plastiques / Graphisme);Rue Hazinelle 2;;4000 LIEGE;4000;BE-WLG;Liège;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 4 223 76 66;www.hel.be;info@hel.be;t;t;f;f;50.638500;5.571400;HAUTE ECOLE
BE_EC_012;Haute École;Public;HEPL - Haute École de la Province de Liège (Graphisme & Communication);Quai des Carmes 45;;4101 JEMEPPE-SUR-MEUSE;4101;BE-WLG;Liège;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 4 279 55 20;www.hepl.be;hepl@provincedeliege.be;t;t;f;f;50.618700;5.501200;HAUTE ECOLE
BE_EC_013;Haute École;Public;Haute École provinciale de Hainaut - Condorcet (Arts Appliqués);Chemin de Champ de Mars 15;;7000 MONS;7000;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 65 40 12 20;www.condorcet.be;info.mons@condorcet.be;t;t;f;f;50.457800;3.959200;HAUTE ECOLE
BE_EC_014;Haute École;Privé;Haute École Léonard de Vinci - ECAM / Design;Rue Paulin Ladeuze 40;;1348 LOUVAIN-LA-NEUVE;1348;BE-WBR;Brabant Wallon;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 10 39 00 00;www.vinci.be;info@vinci.be;t;t;f;f;50.669800;4.615200;HAUTE ECOLE
BE_EC_015;Haute École;Privé;CAD - College of Art & Design Bruxelles;Rue Américaine 25;;1050 IXELLES;1050;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 2 640 40 32;www.cad.be;contact@cad.be;t;t;f;f;50.824200;4.356200;ECOLE PRIVEE D ART ET DESIGN
BE_EC_016;École de Cinéma / Audiovisuel;Public;INSAS - Institut national supérieur des arts du spectacle;Rue Thérésienne 8;;1000 BRUXELLES;1000;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 2 511 92 86;www.insas.be;insas@insas.be;t;t;t;t;50.841500;4.360100;ECOLE SUPERIEURE DU SPECTACLE ET CINEMA
BE_EC_017;École de Cinéma / Audiovisuel;Privé;IAD - Institut des Arts de Diffusion;Route Blocry 5;;1348 LOUVAIN-LA-NEUVE;1348;BE-WBR;Brabant Wallon;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;f;f;+32 10 47 11 11;www.iad-arts.be;iad@iad-arts.be;t;t;t;t;50.672100;4.606200;ECOLE SUPERIEURE DU SPECTACLE ET CINEMA
BE_EC_018;École Supérieure des Arts;Public;KASK & Conservatorium (School of Arts Gent - HOGENT);Jozef Kluyskensstraat 2;;9000 GENT;9000;BE-VLG;Flandre-Orientale;BE;Belgique;BE-VLG;Flandre;f;f;f;+32 9 243 36 00;www.schoolofartsgent.be;kask@hogent.be;t;t;t;t;51.048300;3.714400;ECOLE SUPERIEURE DES ARTS
