name
Ossature apparente
Verticalité constructive
Massivité symbolique
Modularité spatiale
Structure suspendue
Rythme architectural
Transparence constructive
Matériau porteur exprimé
Fonctionnalisme radical
Ergonomie contextualisée
Assemblage visible
Réduction formelle
Design par soustraction
Système modulaire
Usage détourné
Poétique de la fonction
Hiérarchie visuelle
Typographie expressive
Couleur fonctionnelle
Grille de composition
Système de signes
Rupture de lecture
Minimalisme graphique
Superposition narrative
Coupe structurelle
Transparence textile
Biomorphisme textile
Stratification visuelle
Empiècement fonctionnel
Hybridation vestimentaire
Équilibre textile-volume
Monochromie signifiante
Matériau noble révélé
Savoir-faire exprimé
Surface texturée
Gestuelle artisanale
Assemblage traditionnel
Décor porteur de sens
Haptique matière
Transmission du geste
